Fine_step Time dt scale_factor Memory%
121.0 0.000201772 2.123e-06 1.0 1.9
122.0 0.000203895 2.123e-06 1.0 1.9
123.0 0.000206019 2.123e-06 1.0 1.9
124.0 0.000208142 2.123e-06 1.0 1.9
125.0 0.000210266 2.123e-06 1.0 1.9
126.0 0.000212389 2.123e-06 1.0 1.9
127.0 0.000214513 2.123e-06 1.0 1.9
128.0 0.000216636 2.123e-06 1.0 1.9
129.0 0.00021876 2.123e-06 1.0 1.9
130.0 0.000220883 2.123e-06 1.0 1.9
131.0 0.000223007 2.123e-06 1.0 1.9
132.0 0.00022513 2.123e-06 1.0 1.9
133.0 0.000227253 2.123e-06 1.0 1.9
134.0 0.000229377 2.123e-06 1.0 1.9
135.0 0.0002315 2.123e-06 1.0 1.9
136.0 0.000233624 2.123e-06 1.0 1.9
137.0 0.000235747 2.123e-06 1.0 1.9
138.0 0.000237871 2.123e-06 1.0 1.9
139.0 0.000239994 2.123e-06 1.0 1.9
140.0 0.000242118 2.123e-06 1.0 1.9
141.0 0.000244241 2.123e-06 1.0 1.9
142.0 0.000246365 2.123e-06 1.0 1.9
143.0 0.000248488 2.123e-06 1.0 1.9
144.0 0.000250612 2.123e-06 1.0 1.9
145.0 0.000252735 2.123e-06 1.0 1.9
146.0 0.000254858 2.123e-06 1.0 1.9
147.0 0.000256982 2.123e-06 1.0 1.9
148.0 0.000259105 2.123e-06 1.0 1.9
149.0 0.000261229 2.123e-06 1.0 1.9
150.0 0.000263352 2.123e-06 1.0 1.9
151.0 0.000265476 2.123e-06 1.0 1.9
152.0 0.000267599 2.123e-06 1.0 1.9
153.0 0.000269723 2.123e-06 1.0 1.9
154.0 0.000271846 2.123e-06 1.0 1.9
155.0 0.00027397 2.123e-06 1.0 1.9
156.0 0.000276093 2.123e-06 1.0 1.9
157.0 0.000278217 2.123e-06 1.0 1.9
158.0 0.00028034 2.123e-06 1.0 1.9
159.0 0.000282463 2.123e-06 1.0 1.9
160.0 0.000284587 2.123e-06 1.0 1.9
161.0 0.00028671 2.123e-06 1.0 1.9
162.0 0.000288834 2.123e-06 1.0 1.9
163.0 0.000290957 2.123e-06 1.0 1.9
